comp_id,comp_name,year,month,date_from,date_to,country_code,city,comp_type,disciplines
1707,Turkish Turkcell National Team Selection Meet (50m),2019,12,2019-12-24T00:00:00Z,2019-12-26T00:00:00Z,TUR,Istanbul,Open,SW
1714,MM Maribor 2019,2019,12,2019-12-14T00:00:00Z,2019-12-15T00:00:00Z,SLO,Maribor,Open,SW
1729,Grand Prix Brno,2019,11,2019-11-16T00:00:00Z,2019-11-17T00:00:00Z,CZE,Brno,Open,SW
1730,Limassol Swim Meet,2019,11,2019-11-09T00:00:00Z,2019-11-10T00:00:00Z,CYP,Limassol,Open,SW
1734,National Games 2019,2019,10,2019-10-19T00:00:00Z,2019-10-23T00:00:00Z,TPE,Taoyuan,Open,SW
1735,Aura Open Cup,2019,10,2019-10-12T00:00:00Z,2019-10-13T00:00:00Z,EST,Tartu,Open,SW
1738,50th Anniversary FENABA,2019,9,2019-09-20T00:00:00Z,2019-09-22T00:00:00Z,ARG,Buenos Aires,Open,SW
1745,Campeonao de Espana “Open de Verano”,2019,8,2019-08-03T00:00:00Z,2019-08-07T00:00:00Z,ESP,Terrassa,Open,SW
1746,Open Age Long Cours Clubs Championship,2019,8,2019-08-03T00:00:00Z,2019-08-06T00:00:00Z,TUR,Istanbul,Open,SW
1747,Greek Open Swimming Championships,2019,8,2019-08-02T00:00:00Z,2019-08-05T00:00:00Z,GRE,Athens,Open,SW
1751,Open Portugal - Prova International,2019,8,2019-08-01T00:00:00Z,2019-08-04T00:00:00Z,POR,Funchal,Open,SW
1760,HPS Grand Prix Golden Bear,2019,7,2019-07-13T00:00:00Z,2019-07-14T00:00:00Z,CRO,Zagreb,Open,SW
1762,International Swim Meeting Telekom 2019,2019,7,2019-07-13T00:00:00Z,2019-07-14T00:00:00Z,SLO,Radovlijica,Open,SW
1769,Open Cup of Belarus,2019,7,2019-07-03T00:00:00Z,2019-07-06T00:00:00Z,BLR,Brest,Open,SW
1770,15th Open Luxembourg Nationals,2019,6,2019-06-29T00:00:00Z,2019-06-30T00:00:00Z,LUX,Luxembourg,Open,SW
1771,Circuito Open Comunidad de Madrid,2019,6,2019-06-29T00:00:00Z,2019-06-30T00:00:00Z,ESP,Madrid,Open,SW
1778,Scottish National Open Swimming Championships,2019,6,2019-06-27T00:00:00Z,2019-06-30T00:00:00Z,GBR,Aberdeen,Open,SW
1782,Budapest Open,2019,6,2019-06-26T00:00:00Z,2019-06-29T00:00:00Z,HUN,Budapest,Open,SW
1783,Belgrade Trophy,2019,6,2019-06-22T00:00:00Z,2019-06-23T00:00:00Z,SRB,Belgrade,Open,SW
1784,46th International Swim Meet Ravne 2019,2019,6,2019-06-22T00:00:00Z,2019-06-23T00:00:00Z,SLO,Ravne,Open,SW
1788,Mission Viejo Swim Meet of Champions,2019,6,2019-06-20T00:00:00Z,2019-06-23T00:00:00Z,USA,Mission Viejo,Open,SW
1789,Mission Viejo Swim Meet of Champions - SF,2019,6,2019-06-20T00:00:00Z,2019-06-23T00:00:00Z,USA,Mission Viejo,Open,SW
1795,New Zealand Open Championships 2019,2019,6,2019-06-17T00:00:00Z,2019-06-21T00:00:00Z,NZL,Auckland,Open,SW
1798,Grand Prix Kranj 19 Open National Championships 2019,2019,6,2019-06-14T00:00:00Z,2019-06-16T00:00:00Z,SLO,Kranj,Open,SW
1799,Open Slovakian Championships,2019,6,2019-06-14T00:00:00Z,2019-06-16T00:00:00Z,SVK,Zilina,Open,SW
1808,Black Sea Cup,2019,6,2019-06-07T00:00:00Z,2019-06-09T00:00:00Z,BUL,Varna,Open,SW
1811,Pori International Swimming ClassicMarsky uinnit,2019,6,2019-06-07T00:00:00Z,2019-06-07T00:00:00Z,FIN,Helsinki,Open,SW
1812,Santa Clara Swim Club International Meet 2019,2019,6,2019-06-06T00:00:00Z,2019-06-09T00:00:00Z,USA,Santa Clara,Open,SW
1814,Arena Cup - Prague 2019,2019,5,2019-05-31T00:00:00Z,2019-06-02T00:00:00Z,CZE,Prague,Open,SW
1815,Japan Open 2019,2019,5,2019-05-30T00:00:00Z,2019-06-02T00:00:00Z,JPN,Tokyo,Open,SW
1816,Vienna International Swim Meet,2019,5,2019-05-30T00:00:00Z,2019-06-02T00:00:00Z,AUT,Vienna,Open,SW
1821,"12th ISM ""Banja Luka Open 2019""",2019,5,2019-05-25T00:00:00Z,2019-05-26T00:00:00Z,BIH,Banja Luka,Open,SW
1823,Finis Cup 2019,2019,5,2019-05-25T00:00:00Z,2019-05-26T00:00:00Z,EST,Tartu,Open,SW
1824,HPS GP ZPK Miting,2019,5,2019-05-25T00:00:00Z,2019-05-26T00:00:00Z,CRO,Zagreb,Open,SW
1827,NOVA Grand Challenge,2019,5,2019-05-24T00:00:00Z,2019-05-26T00:00:00Z,USA,Irvine,Open,SW
1829,Meeting Internacional de Coimbra,2019,5,2019-05-24T00:00:00Z,2019-05-26T00:00:00Z,POR,Coimbra,Open,SW
1834,4th ISM Ljubljana City Cup 2019,2019,5,2019-05-18T00:00:00Z,2019-05-19T00:00:00Z,SLO,Ljubljana,Open,SW
1835,33th Trofeo Int. Villa de Gijon,2019,5,2019-05-18T00:00:00Z,2019-05-19T00:00:00Z,ESP,Villa de Gijon,Open,SW
1836,Akropolis Swimming Grand Prix,2019,5,2019-05-17T00:00:00Z,2019-05-19T00:00:00Z,GRE,Athens,Open,SW
1837,Open Belgian Championships (50m),2019,5,2019-05-17T00:00:00Z,2019-05-19T00:00:00Z,BEL,Antwerp,Open,SW
1838,Grand Prix Pardubice 2019,2019,5,2019-05-17T00:00:00Z,2019-05-19T00:00:00Z,CZE,Pardubice,Open,SW
1844,Trofeo Int. Ciudad de Zaragoza,2019,5,2019-05-11T00:00:00Z,2019-05-12T00:00:00Z,ESP,Zaragoza,Open,SW
1845,Laviaarit,2019,5,2019-05-11T00:00:00Z,2019-05-12T00:00:00Z,FIN,Espoo,Open,SW
1846,German Open Swimming,2019,5,2019-05-10T00:00:00Z,2019-05-12T00:00:00Z,GER,Essen,Open,SW
1850,Tampereen avoimet,2019,5,2019-05-04T00:00:00Z,2019-05-05T00:00:00Z,FIN,Tampere,Open,SW
1852,Southern German Championships,2019,5,2019-05-03T00:00:00Z,2019-05-05T00:00:00Z,GER,Freiburg,Open,SW
1853,Northern German Championships,2019,5,2019-05-03T00:00:00Z,2019-05-05T00:00:00Z,GER,Magdeburg,Open,SW
1854,Neville Alexander Memorial Swim Meet 2019,2019,5,2019-05-03T00:00:00Z,2019-05-05T00:00:00Z,JAM,Kingston,Open,SW
1855,Grand Prix Ostrava,2019,5,2019-05-03T00:00:00Z,2019-05-05T00:00:00Z,CZE,Ostrava,Open,SW
1856,Marienlyst Open 2019,2019,5,2019-05-03T00:00:00Z,2019-05-05T00:00:00Z,NOR,Drammen,Open,SW
1858,Ethias Swimming Trophy,2019,4,2019-04-27T00:00:00Z,2019-04-28T00:00:00Z,BEL,Charleroi,Open,SW
1860,Orca Cup 2019,2019,4,2019-04-26T00:00:00Z,2019-04-28T00:00:00Z,SVK,Bratislava,Open,SW
1861,ATUS Trophy 2019,2019,4,2019-04-26T00:00:00Z,2019-04-28T00:00:00Z,AUT,Graz,Open,SW
1862,62nd Malaysia Open Swimming Championships 2019,2019,4,2019-04-25T00:00:00Z,2019-04-28T00:00:00Z,MAS,Kuala Lumpur,Open,SW
1864,26th Easter International Swimming Meeting,2019,4,2019-04-25T00:00:00Z,2019-04-27T00:00:00Z,MLT,Gzira,Open,SW
1866,Indonesia Aquatic Festival,2019,4,2019-04-25T00:00:00Z,2019-04-28T00:00:00Z,INA,Jakarta,Open,SW
1868,Puerto Rico International Swimming Open,2019,4,2019-04-25T00:00:00Z,2019-04-28T00:00:00Z,PUR,San Juan,Open,SW
1870,11th Gyor Open,2019,4,2019-04-24T00:00:00Z,2019-04-27T00:00:00Z,HUN,Gyor,Open,SW
1871,Campeonato Nacional de Natacion y Open Internacional 1ra etapa 2019,2019,4,2019-04-24T00:00:00Z,2019-04-27T00:00:00Z,PAR,Asuncion,Open,SW
1873,Open Ukrainian Swimming Championships,2019,4,2019-04-23T00:00:00Z,2019-04-26T00:00:00Z,UKR,Kharkiv,Open,SW
1877,International Siwmming Meet Nioveia,2019,4,2019-04-19T00:00:00Z,2019-04-20T00:00:00Z,GRE,Thessaloniki,Open,SW
1878,Bulgarian Open Team,2019,4,2019-04-19T00:00:00Z,2019-04-21T00:00:00Z,BUL,Sofia,Open,SW
1879,Simmis Meet,2019,4,2019-04-19T00:00:00Z,2019-04-19T00:00:00Z,FIN,Helsinki,Open,SW
1883,Maria Lenk / Brazil Trophy,2019,4,2019-04-16T00:00:00Z,2019-04-21T00:00:00Z,BRA,Rio de Janeiro,Open,SW
1884,GHF Australian Age Championships 2019,2019,4,2019-04-15T00:00:00Z,2019-04-22T00:00:00Z,AUS,Adelaide,Open,SW
1886,Tartu Kevad,2019,4,2019-04-13T00:00:00Z,2019-04-14T00:00:00Z,EST,Tartu,Open,SW
1887,Campeonato Nacional de Clubes 1e Divisao,2019,4,2019-04-13T00:00:00Z,2019-04-14T00:00:00Z,POR,Jamor,Open,SW
1889,10th Copa Chorotega,2019,4,2019-04-12T00:00:00Z,2019-04-15T00:00:00Z,CRC,Nicoya,Open,SW
1890,Swim Cup Eindhoven,2019,4,2019-04-12T00:00:00Z,2019-04-15T00:00:00Z,NED,Eindhoven,Open,SW
1891,Grand Prix Burgas,2019,4,2019-04-12T00:00:00Z,2019-04-14T00:00:00Z,BUL,Burgas,Open,SW
1892,Malmsten Swim Open Stockholm 2019,2019,4,2019-04-12T00:00:00Z,2019-04-15T00:00:00Z,SWE,Stockholm,Open,SW
1895,Arena Grand Prix de Natacion Senior,2019,4,2019-04-11T00:00:00Z,2019-04-15T00:00:00Z,MEX,Tijuana,Open,SW
1899,HPS GP Zlatni Orlando,2019,4,2019-04-06T00:00:00Z,2019-04-06T00:00:00Z,CRO,Dubrovnik,Open,SW
1900,"20th Campeonato de Espana “Open de Primavera"" (50m)",2019,4,2019-04-06T00:00:00Z,2019-04-10T00:00:00Z,ESP,Sabadell,Open,SW
1902,Danish Open 2019,2019,4,2019-04-05T00:00:00Z,2019-04-10T00:00:00Z,DEN,Copenhagen,Open,SW
1903,Bergen Swim Festival 2019,2019,4,2019-04-05T00:00:00Z,2019-04-07T00:00:00Z,NOR,Bergen,Open,SW
1904,11th April Grand Prix,2019,4,2019-04-05T00:00:00Z,2019-04-07T00:00:00Z,SRB,Belgrade,Open,SW
